"prime_genre","app_number","avg_rating","min_rating","max_rating"
"Games","3256","4.197635135135135","1","5"
"Entertainment","455","3.681318681318681","1","5"
"Education","372","3.9704301075268815","1.5","5"
"Photo & Video","315","4.085714285714285","1","5"
"Utilities","211","3.748815165876777","1","5"
"Productivity","169","4.136094674556213","1.5","5"
"Health & Fitness","156","4.201923076923077","1.5","5"
"Music","133","4.105263157894737","2","5"
"Social Networking","130","3.723076923076923","1","5"
"Lifestyle","108","3.6481481481481484","1","5"
